CODIGO, DESCRICAO, PREVISTA, REALIZADA, DIFERENCA, ID
94, DEDUÇÃO DA RECEITA DE VENDAS E SERVIÇOS, 0.0, -2360778.23, 2360778.23, 1.0
95, DEDUÇÃO PARA FORMAÇÃO DO FUNDEB, -1421484000.0, -898450341.44, -523033658.56, 2.0
